Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total,Currency (Total),Withholding tax,Currency (Withholding tax)
Dividend (Dividend),2024-05-16 11:16:43,US0378331005,AAPL,"Apple",0.0321885000,0.21,USD,Not available,0.01,"GBP",0.00,USD
Dividend (Dividend),2024-08-09 12:55:20,US00123Q1040,AGNC,"AGNC Investment",2.5772240000,0.10,USD,Not available,0.21,"GBP",0.05,USD
Dividend (Dividend),2024-08-15 14:33:41,US56035L1044,MAIN,"Main Street Capital",0.5118020000,0.21,USD,Not available,0.08,"GBP",0.02,USD
Dividend (Dividend),2024-08-15 14:40:03,US85254J1025,STAG,"STAG Industrial",0.6538070000,0.10,USD,Not available,0.05,"GBP",0.01,USD
Dividend (Dividend),2024-08-15 15:03:37,US0378331005,AAPL,"Apple",0.5266696000,0.21,USD,Not available,0.09,"GBP",0.02,USD
Dividend (Dividend),2024-08-15 15:28:27,US7561091049,O,"Realty Income",1.9855130000,0.22,USD,Not available,0.35,"GBP",0.08,USD
Dividend (Dividend),2024-08-26 09:13:17,US6701002056,NVO,"Novo Nordisk",0.6963196000,0.38,USD,Not available,0.20,"GBP",0.10,USD
Dividend (Dividend),2024-08-27 08:20:55,CA0636711016,BMO,"Bank of Montreal",0.3017000000,0.98,USD,Not available,0.22,"GBP",0.05,USD
Dividend (Dividend),2024-08-28 08:49:07,IE00B42WWV65,VGOV,"Vanguard U.K. Gilt (Dist)",1.2199280000,0.06,GBP,Not available,0.08,"GBP",0.00,GBP
Dividend (Dividend),2024-08-28 08:51:53,IE00BDD48R20,VUSC,"Vanguard USD Corporate 1-3 Year Bond (Dist)",0.5331910000,0.21,EUR,Not available,0.10,"GBP",-0.00,EUR
Dividend (Dividend),2024-08-29 08:30:56,IE00B2NPKV68,SEMB,"iShares J.P. Morgan USD EM Bond (Dist)",0.2998386200,32.11,GBX,Not available,0.10,"GBP",-0.00,GBX
Dividend (Dividend),2024-08-30 10:39:29,US8552441094,SBUX,"Starbucks",1.5421540000,0.48,USD,Not available,0.57,"GBP",0.13,USD
Dividend (Dividend),2024-08-30 10:47:07,US5021751020,LTC,"LTC Properties",0.6934420000,0.16,USD,Not available,0.09,"GBP",0.02,USD
Dividend (Dividend),2024-08-30 10:57:58,IE00BYXVWC37,STHS,"PIMCO US Short-Term High Yield Corporate Bond Index (Dist)",2.2989400000,0.05,GBP,Not available,0.11,"GBP",0.00,GBP
Dividend (Dividend),2024-08-30 11:00:15,IE00B7N3YW49,SSHY,"PIMCO US Short-Term High Yield Corporate Bond Index (Dist)",0.2799210000,0.40,GBP,Not available,0.11,"GBP",-0.00,GBP
Dividend (Dividend),2024-08-30 11:05:14,GB00B8SC6K54,UKW,"Greencoat UK Wind",69.6375348000,2.50,GBX,Not available,1.74,"GBP",0.00,GBX
Dividend (Dividend),2024-09-02 10:32:42,US0010551028,AFL,"Aflac",0.2779090000,0.43,USD,Not available,0.09,"GBP",0.02,USD
Dividend (Dividend),2024-09-02 10:42:11,US3848021040,GWW,"WW Grainger",0.0268293000,1.74,USD,Not available,0.04,"GBP",0.01,USD
Dividend (Dividend),2024-09-03 09:15:51,US1729081059,CTAS,"Cintas",0.1150415000,1.33,USD,Not available,0.12,"GBP",0.03,USD
Dividend (Dividend),2024-09-03 09:19:16,US92826C8394,V,"Visa",0.6894583000,0.44,USD,Not available,0.23,"GBP",0.05,USD
Dividend (Dividend),2024-09-03 09:34:22,US9311421039,WMT,"Walmart",0.3785510000,0.18,USD,Not available,0.05,"GBP",0.01,USD
Dividend (Dividend),2024-09-06 11:51:40,US8243481061,SHW,"Sherwin-Williams",0.0747890000,0.61,USD,Not available,0.03,"GBP",0.01,USD
Dividend (Dividend),2024-09-09 09:50:01,GB00B1ZBKY84,MONY,"MONY Group",26.8663239000,3.30,GBX,Not available,0.89,"GBP",0.00,GBX
Dividend (Dividend),2024-09-10 12:48:57,GB0008706128,LLOY,"Lloyds Banking Group",66.6847580000,1.06,GBX,Not available,0.71,"GBP",0.00,GBX
Dividend (Dividend),2024-09-10 13:00:26,US4781601046,JNJ,"Johnson & Johnson",0.1647750000,1.05,USD,Not available,0.13,"GBP",0.03,USD
Dividend (Dividend),2024-09-10 13:09:50,US2910111044,EMR,"Emerson Electric",0.2247395000,0.45,USD,Not available,0.08,"GBP",0.02,USD
Dividend (Dividend),2024-09-10 13:20:02,US1667641005,CVX,"Chevron",0.7291422000,1.39,USD,Not available,0.77,"GBP",0.18,USD
Dividend (Dividend),2024-09-10 13:31:21,US4592001014,IBM,"IBM",0.1381846000,1.42,USD,Not available,0.15,"GBP",0.03,USD
Dividend (Dividend),2024-09-11 08:52:13,US0394831020,ADM,"Archer-Daniels-Midland",0.4120370000,0.43,USD,Not available,0.13,"GBP",0.03,USD
Dividend (Dividend),2024-09-11 08:59:13,US00123Q1040,AGNC,"AGNC Investment",2.5772240000,0.10,USD,Not available,0.20,"GBP",0.05,USD
Dividend (Dividend),2024-09-12 11:50:44,US5949181045,MSFT,"Microsoft",0.4226661000,0.64,USD,Not available,0.21,"GBP",0.05,USD
Dividend (Dividend),2024-09-12 12:05:17,US6935061076,PPG,"PPG Industries",0.2053533000,0.58,USD,Not available,0.09,"GBP",0.02,USD
Dividend (Dividend),2024-09-12 12:11:55,US88579Y1010,MMM,"3M",0.2095789000,0.60,USD,Not available,0.10,"GBP",0.02,USD
Dividend (Dividend),2024-09-13 11:19:56,GB00B24CGK77,RKT,"Reckitt Benckiser",0.4954520800,80.40,GBX,Not available,0.40,"GBP",0.00,GBX
Dividend (Dividend),2024-09-13 11:26:07,US56035L1044,MAIN,"Main Street Capital",1.0418460000,0.21,USD,Not available,0.17,"GBP",0.04,USD
Dividend (Dividend),2024-09-13 11:43:52,US7561091049,O,"Realty Income",2.4105630000,0.22,USD,Not available,0.41,"GBP",0.10,USD
Dividend (Dividend),2024-09-16 10:29:35,US65339F1012,NEE,"NextEra Energy",1.1898970000,0.44,USD,Not available,0.40,"GBP",0.09,USD
Dividend (Dividend),2024-09-16 10:36:56,US02079K1079,GOOG,"Alphabet (Class C)",1.0453501000,0.17,USD,Not available,0.14,"GBP",0.03,USD
Dividend (Dividend),2024-09-16 10:59:27,US85254J1025,STAG,"STAG Industrial",0.6538070000,0.10,USD,Not available,0.05,"GBP",0.01,USD
Dividend (Dividend),2024-09-17 12:35:05,US5801351017,MCD,"McDonald's",0.1925093000,1.42,USD,Not available,0.21,"GBP",0.05,USD
Dividend (Dividend),2024-09-19 10:48:34,US74348T1025,PSEC,"Prospect Capital",4.7694700000,0.05,USD,Not available,0.18,"GBP",0.04,USD
Dividend (Dividend),2024-09-20 09:31:20,GB0031348658,BARC,"Barclays",25.7335451000,2.90,GBX,Not available,0.75,"GBP",0.00,GBX
